0,田中 隆,宮崎県大田原市南沖野町3-1-1
1,荒井 友美,宮城県安中市寿町4-1-7
2,山田 正太,神奈川県東蒲原郡相原町8309-9
3,小林 優人,大分県島田市半城土町9141-6
4,西森 朋子,熊本県館林市西境町2-0-8
5,松本 悟,秋田県多野郡上野村松坂町8-7-4
6,荒井 悠,栃木県伊勢崎市御幸町7-2-4
7,獅子吼 加奈子,佐賀県高崎市中島町3-4-9
8,斎藤 陸,福岡県常陸太田市松栄町3357-4
9,斎藤 千夏,千葉県裾野市富士見町7294-2
10,阿部 美由紀,岩手県富士市相原町6-6-8
11,中村 陽奈,鹿児島県さくら市相原町8749-9
12,相澤 瑠璃,青森県桐生市寿町1477-3
13,阿部 大輝,鹿児島県焼津市野田新町4702-9
14,古閑 一樹,栃木県大田原市若松町1-7-6
15,山崎 篤,富山県御殿場市西境町0-2-6
16,山口 亮太,山口県新宿区富士見町5-8-6
17,相田 尚太,青森県高崎市相原町1232-4
18,山田 奏,岡山県柏崎市相原町9291-2
19,菊池 奏,福井県那須烏山市八幡町4-2-4
20,山口 かな,アメリカ
21,佐藤仁美,関西
22,高橋ひでき,日本
23,高橋ご,日本
23,池田,日本
